Time,,,,,,Lidar1,Lidar2
383,,,,,,81,138
384,,,,,,83,138
385,,,,,,84,133
386,,,,,,82,136
387,,,,,,82,125
388,,,,,,82,115
389,,,,,,83,100
390,,,,,,80,96
391,,,,,,80,85
392,,,,,,81,83
393,,,,,,84,79
394,,,,,,81,77
395,,,,,,79,75
396,,,,,,81,72
397,,,,,,82,68
398,,,,,,79,75
399,,,,,,82,70
400,,,,,,81,62
401,,,,,,83,55
402,,,,,,81,60
403,,,,,,82,56
404,,,,,,82,57
405,,,,,,83,70
406,,,,,,83,75
407,,,,,,82,83
408,,,,,,82,90
409,,,,,,83,107
410,,,,,,80,116
411,,,,,,82,129
412,,,,,,83,143
413,,,,,,81,154
414,,,,,,82,160
415,,,,,,82,162
416,,,,,,82,161
417,,,,,,81,158
418,,,,,,82,159
419,,,,,,85,153
420,,,,,,82,146
421,,,,,,81,142
422,,,,,,80,130
423,,,,,,83,124
424,,,,,,78,118
425,,,,,,81,110
426,,,,,,83,102
427,,,,,,81,98
428,,,,,,81,89
429,,,,,,82,82
430,,,,,,80,77
431,,,,,,84,72
432,,,,,,80,73
433,,,,,,81,69
434,,,,,,83,68
435,,,,,,82,68
436,,,,,,82,68
437,,,,,,84,61
438,,,,,,81,56
439,,,,,,85,54
440,,,,,,83,65
441,,,,,,84,84
442,,,,,,82,62
443,,,,,,82,79
444,,,,,,79,51
445,,,,,,83,74
446,,,,,,83,40
447,,,,,,84,50
448,,,,,,85,55
449,,,,,,81,64
450,,,,,,81,71
451,,,,,,82,78
452,,,,,,85,80
453,,,,,,82,88
454,,,,,,82,95
455,,,,,,79,96
456,,,,,,82,108
457,,,,,,81,116
458,,,,,,80,126
459,,,,,,83,123
460,,,,,,82,123
461,,,,,,81,125
462,,,,,,81,126
463,,,,,,83,130
464,,,,,,81,131
465,,,,,,82,136
466,,,,,,82,136
467,,,,,,81,133
468,,,,,,80,132
469,,,,,,81,131
470,,,,,,82,124
471,,,,,,80,118
472,,,,,,79,114
473,,,,,,82,109
474,,,,,,83,101
475,,,,,,81,93
476,,,,,,81,87
477,,,,,,82,84
478,,,,,,80,78
479,,,,,,79,74
480,,,,,,80,71
481,,,,,,79,70
482,,,,,,81,69
483,,,,,,80,67
484,,,,,,80,56
485,,,,,,82,57
486,,,,,,81,53
